about,4_infection,4_dead,5_infection,5_dead,6_infection,6_dead,7_infection,7_dead,8_infection,8_dead,9_infection,9_dead,10_infection,10_dead,11_infection,11_dead,infection_all,dead_all
0s,14,0,16,0,31,0,53,0,196,0,115,0,89,0,200,0,714,0
10s,46,0,62,0,48,0,74,0,363,0,134,0,114,0,426,0,1267,0
20s,133,0,214,0,171,0,258,0,700,0,393,0,354,0,907,0,3130,0
30s,66,1,124,0,188,0,313,0,682,0,370,0,363,0,806,0,2912,1
40s,45,1,91,0,137,0,249,0,762,1,424,0,373,0,906,0,2987,2
50s,47,2,72,0,213,0,234,1,1119,0,723,3,434,2,1067,2,3909,10
60s,44,9,54,3,235,2,185,0,1115,1,814,2,395,9,812,8,3654,34
70s,20,17,15,6,110,2,97,8,517,7,442,39,199,15,421,16,1821,110
80s,19,25,12,12,56,5,42,10,188,14,185,45,173,22,265,24,940,157
all,434,55,660,21,1189,9,1505,19,5642,23,3600,89,2494,48,5810,50,21334,314
